x	y
2.7401788	5.5795946
-4.1640396	10.40217
-3.9655018	10.38951
8.539035	7.4846005
6.548799	5.1967783
4.0177565	7.1278577
8.697212	7.7191396
6.0089045	7.90469
3.1655486	5.574413
5.607746	5.1553273
8.445489	6.209311
5.746211	9.438097
2.847541	7.0407734
5.4187984	7.072631
6.8204613	7.099239
8.459919	8.677939
7.810298	6.293894
2.3345315	6.338157
2.200924	5.9874597
1.972027	6.2009854
6.4871573	5.5117445
6.948701	7.1052823
6.327001	6.36801
8.252246	12.24661
8.013211	11.817941
8.577841	11.231683
5.370405	9.92451
7.0716915	6.730732
7.3290005	4.435779
-3.7125173	10.688879
8.223874	12.745267
8.872235	13.104655
6.359702	7.9638
-4.1260123	10.293706
7.520041	8.069138
7.4516125	7.8865314
7.0478864	7.89333
3.7065656	5.772635
8.637498	12.277557
7.9256024	7.7916775
-3.920311	10.415191
7.8687773	9.675633
3.648612	8.297286
8.37116	7.302018
6.5144973	7.1135144
6.7187185	5.810342
5.474414	9.185018
2.2314906	5.6942964
-3.818811	10.658266
7.9211664	6.2819695
6.185438	5.970297
9.525112	11.670781
7.7815914	11.993752
2.4989438	5.847658
8.904329	11.522924
8.50343	7.2296634
8.384227	6.3096056
4.7761827	7.710413
5.137672	8.773224
8.138047	9.295137
9.170777	12.766559
6.83589	8.647838
6.560224	6.5877037
2.5850444	5.9557095
8.923394	7.913373
4.724189	7.499419
9.064014	10.584919
7.3247414	7.5255914
7.1412053	4.646781
6.7888994	8.232515
8.216615	6.2619157
6.4039927	5.090008
6.469756	4.7775946
9.30093	12.570072
8.660498	5.392527
8.8648205	10.525561
8.557171	8.022522
6.8269033	5.78534
6.713888	9.0997715
8.227395	11.042638
6.710096	5.1101546
5.4602385	10.28253
5.72905	9.685177
7.964575	11.836768
6.7417703	7.282184
4.463211	5.629971
6.0535235	7.0567408
6.889203	8.817513
8.002468	5.076558
6.9055753	8.741382
2.433954	5.6995063
4.961127	5.058145
6.1721005	4.2305193
8.428947	7.0011673
5.21129	8.469901
8.574119	7.057024
4.0440626	7.888005
7.9155765	9.720042
2.1905484	6.4903846
5.20982	8.960818
6.598948	10.477239
8.624868	5.607629
7.1228323	10.086733
5.40439	10.28512
3.8325813	7.098508
6.4819064	4.3594375
8.451335	5.463349
9.874416	11.242957
5.762068	9.642652
5.7756023	10.153249
6.321419	6.403703
2.59305	5.5892267
7.695223	6.0596
5.628041	8.898481
6.6413484	6.7170796
6.135939	4.2699704
6.6755605	5.4468975
6.7348323	4.3450174
6.5864763	10.444698
7.5971017	8.734525
2.60501	6.5092583
8.354612	5.783874
9.131442	10.693196
7.319806	5.0158496
6.3768215	9.891087
2.999322	6.12436
5.7735662	8.094079
9.683922	11.912153
7.774679	9.393978
3.1720612	6.1172266
8.587664	13.224768
4.612412	5.6831923
8.908612	11.631049
2.5204597	6.294083
6.0525355	9.822418
